Country Name,Country Code,Series Name,Series Code,2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
World,WLD,"Population ages 00-04, female (% of female population)",SP.POP.0004.FE.5Y,9.245735228,9.213541119,9.181091601,9.143911002,9.125822118,9.080246295,9.016787325,8.947080908,8.879423237,8.810252274,8.738594362,8.666039641,8.590834352,8.511651788,..
World,WLD,"Population ages 00-04, male (% of male population)",SP.POP.0004.MA.5Y,9.759451918,9.71790016,9.675135491,9.6284691,9.599510639,9.544618894,9.472930018,9.395060973,9.318908627,9.240261461,9.158909781,9.076480057,8.991527454,8.903117121,..
World,WLD,"Population ages 05-09, female (% of female population)",SP.POP.0509.FE.5Y,8.888270459,8.813833708,8.744281831,8.679777414,8.632830807,8.597556918,8.572445367,8.550340576,8.521629174,8.496317416,8.464696889,8.425669078,8.380029462,8.329578885,..
World,WLD,"Population ages 05-09, male (% of male population)",SP.POP.0509.MA.5Y,9.363050293,9.289550785,9.221051871,9.155995794,9.106342422,9.066787865,9.035789544,9.00667696,8.970678212,8.936974834,8.897077216,8.849660653,8.79541637,8.736129694,..
World,WLD,"Population ages 10-14, female (% of female population)",SP.POP.1014.FE.5Y,8.768540707,8.665096766,8.574654383,8.487333643,8.400440166,8.319855175,8.246700535,8.183516425,8.132887997,8.096417514,8.071679224,8.055752663,8.042350056,8.025325865,..
World,WLD,"Population ages 10-14, male (% of male population)",SP.POP.1014.MA.5Y,9.207149201,9.10214742,9.0105249,8.923755379,8.837736857,8.759192059,8.688681796,8.627580026,8.577482127,8.537033453,8.507555525,8.486294201,8.467299207,8.444617409,..
World,WLD,"Population ages 15-19, female (% of female population)",SP.POP.1519.FE.5Y,9.047800842,8.835951094,8.633555765,8.466386411,8.32607814,8.213243939,8.122279586,8.040050457,7.958751263,7.881609969,7.80938032,7.745411698,7.693808281,7.656040534,..
World,WLD,"Population ages 15-19, male (% of male population)",SP.POP.1519.MA.5Y,9.408356144,9.204389829,9.010536032,8.851400406,8.716580944,8.606654109,8.517332532,8.437330558,8.359780811,8.284063678,8.213768145,8.152206958,8.102524093,8.065416064,..
World,WLD,"Population ages 20-24, female (% of female population)",SP.POP.2024.FE.5Y,8.626055281,8.699508968,8.723713894,8.683163264,8.593133262,8.444373338,8.261213538,8.081884125,7.930734294,7.808232225,7.710174686,7.630729075,7.558471535,7.486983155,..
World,WLD,"Population ages 20-24, male (% of male population)",SP.POP.2024.MA.5Y,8.869202555,8.951366218,8.98394405,8.952148431,8.877027654,8.744054727,8.576455567,8.410900298,8.270960298,8.159657687,8.068256711,7.99161916,7.920559166,7.850743983,..
World,WLD,"Population ages 25-29, female (% of female population)",SP.POP.2529.FE.5Y,7.746158394,7.784051549,7.839316851,7.903062175,7.97318291,8.05600195,8.129706459,8.162367252,8.136410507,8.061045409,7.929708063,7.765560997,7.605526425,7.471798675,..
World,WLD,"Population ages 25-29, male (% of male population)",SP.POP.2529.MA.5Y,7.895545741,7.938514933,7.998706221,8.067091374,8.14755579,8.242076993,8.328480319,8.3746575,8.363070575,8.305939664,8.194831943,8.051368208,7.910001824,7.791047358,..
World,WLD,"Population ages 30-34, female (% of female population)",SP.POP.3034.FE.5Y,7.417335646,7.328455987,7.259179598,7.222327682,7.214559593,7.234058422,7.275785148,7.331587787,7.394699744,7.468711554,7.555680349,7.634752147,7.675967477,7.661978938,..
World,WLD,"Population ages 30-34, male (% of male population)",SP.POP.3034.MA.5Y,7.52549003,7.435345667,7.365406053,7.328791648,7.320779103,7.342051403,7.388285694,7.451341218,7.523900332,7.60728803,7.706111374,7.799858215,7.858489919,7.864146328,..
World,WLD,"Population ages 35-39, female (% of female population)",SP.POP.3539.FE.5Y,7.178388119,7.153654091,7.114478805,7.062184318,6.995841326,6.917102629,6.838647637,6.779163277,6.749749142,6.74782573,6.771311872,6.816134368,6.875778213,6.943856344,..
World,WLD,"Population ages 35-39, male (% of male population)",SP.POP.3539.MA.5Y,7.230429239,7.214187939,7.183121219,7.136071193,7.069127126,6.987115117,6.904177558,6.841531524,6.812010788,6.811779815,6.83900307,6.889388803,6.956471944,7.034416491,..
World,WLD,"Population ages 40-44, female (% of female population)",SP.POP.4044.FE.5Y,6.548578292,6.605352828,6.647344844,6.672683033,6.681393165,6.679234848,6.663898304,6.633799374,6.589704619,6.532900281,6.463749304,6.394453291,6.343649455,6.322065225,..
World,WLD,"Population ages 40-44, male (% of male population)",SP.POP.4044.MA.5Y,6.564486431,6.612995492,6.649788061,6.674566277,6.683511585,6.685924651,6.677508731,6.653633795,6.613294259,6.557267627,6.486916201,6.415761976,6.364323791,6.344402401,..
World,WLD,"Population ages 45-49, female (% of female population)",SP.POP.4549.FE.5Y,5.700613232,5.782805963,5.865704416,5.941990255,6.007117206,6.071313232,6.129369333,6.175650164,6.206652691,6.220537852,6.222982353,6.212770088,6.189340967,6.153513853,..
World,WLD,"Population ages 45-49, male (% of male population)",SP.POP.4549.MA.5Y,5.672519834,5.755805214,5.839198287,5.914435868,5.973523624,6.030008037,6.080362291,6.121795814,6.152383341,6.168390699,6.177291792,6.175796347,6.160375684,6.130262155,..
World,WLD,"Population ages 50-54, female (% of female population)",SP.POP.5054.FE.5Y,5.086631909,5.090367716,5.103786457,5.140896941,5.18796581,5.254987039,5.334264272,5.415031938,5.490539423,5.557964794,5.623335667,5.682177534,5.729746356,5.763376064,..
World,WLD,"Population ages 50-54, male (% of male population)",SP.POP.5054.MA.5Y,4.991278711,4.993031836,5.005414731,5.043284042,5.088741206,5.156711402,5.238115459,5.320459573,5.396046623,5.45844385,5.5178243,5.571539717,5.617355588,5.6538513,..
World,WLD,"Population ages 55-59, female (% of female population)",SP.POP.5559.FE.5Y,4.223916067,4.359455384,4.475445309,4.562087193,4.611901853,4.635166609,4.645195206,4.663838001,4.703727618,4.752591667,4.81913854,4.897271895,4.97758413,5.053976405,..
World,WLD,"Population ages 55-59, male (% of male population)",SP.POP.5559.MA.5Y,4.047256109,4.185180036,4.304495658,4.393799383,4.439603258,4.459044611,4.466455199,4.484692215,4.52652671,4.574444818,4.64211835,4.722524332,4.80502655,4.883109257,..
World,WLD,"Population ages 60-64, female (% of female population)",SP.POP.6064.FE.5Y,3.211263856,3.306774225,3.415574607,3.532338572,3.647324152,3.776832312,3.907594076,4.021346565,4.108081707,4.157966422,4.183019842,4.196478429,4.219065939,4.26267375,..
World,WLD,"Population ages 60-64, male (% of male population)",SP.POP.6064.MA.5Y,2.994863804,3.076331517,3.172814022,3.282285664,3.390704559,3.51742801,3.64768891,3.761247069,3.847317025,3.892795945,3.914118683,3.925461704,3.948110072,3.993967926,..
World,WLD,"Population ages 65-69, female (% of female population)",SP.POP.6569.FE.5Y,2.686896733,2.660435025,2.656705063,2.685403568,2.726170173,2.793163747,2.880476998,2.98173816,3.092691597,3.199648532,3.320027281,3.44204357,3.549259943,3.633030463,..
World,WLD,"Population ages 65-69, male (% of male population)",SP.POP.6569.MA.5Y,2.395750856,2.378147887,2.380664767,2.410492035,2.44540867,2.500230753,2.572069252,2.659320687,2.760517246,2.859586181,2.974100302,3.091377493,3.194101075,3.273871652,..
World,WLD,"Population ages 70-74, female (% of female population)",SP.POP.7074.FE.5Y,2.198654872,2.227914376,2.250843332,2.262474956,2.248620082,2.228209424,2.212569253,2.217472662,2.250638728,2.291587456,2.352587675,2.430264636,2.521047651,2.622943051,..
World,WLD,"Population ages 70-74, male (% of male population)",SP.POP.7074.MA.5Y,1.832682971,1.858034873,1.87828608,1.890566662,1.882641791,1.87036637,1.863465927,1.87363752,1.905780311,1.941554897,1.989963115,2.051333715,2.126534427,2.215748238,..
World,WLD,"Population ages 75-79, female (% of female population)",SP.POP.7579.FE.5Y,1.615475377,1.619997782,1.630174974,1.649235191,1.665810408,1.692536473,1.722579493,1.74673722,1.76166128,1.756592005,1.745203624,1.738581103,1.749677149,1.784592967,..
World,WLD,"Population ages 75-79, male (% of male population)",SP.POP.7579.MA.5Y,1.208965773,1.219270513,1.23119156,1.247845843,1.269558537,1.29505259,1.319518421,1.337284734,1.347692804,1.351470999,1.349838118,1.350882927,1.363485177,1.392165203,..
World,WLD,"Population ages 80 and above, female (% of female population)",SP.POP.80UP.FE.5Y,1.809684986,1.852803419,1.884148268,1.904744381,1.961808829,2.006117649,2.040487466,2.068395109,2.092016978,2.1597989,2.218729948,2.265909785,2.297862609,2.316614038,..
World,WLD,"Population ages 80 and above, male (% of male population)",SP.POP.80UP.MA.5Y,1.033520388,1.067799681,1.089720996,1.0990009,1.151646237,1.192682407,1.222682781,1.242849535,1.25364991,1.313046361,1.362315375,1.398445533,1.41839766,1.422987419,..
